C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed2_Walker2d-v4_11-05-2026_14-02-59
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: -5.197
---------------------------------------
Total T:    5368 | Ep:  254 | Steps:   19 | Reward:     0.20
Total T:    5383 | Ep:  255 | Steps:   15 | Reward:     2.01
Total T:    5409 | Ep:  256 | Steps:   26 | Reward:     0.32
Total T:    5425 | Ep:  257 | Steps:   16 | Reward:    -3.05
Total T:    5442 | Ep:  258 | Steps:   17 | Reward:    -3.13
Total T:    5473 | Ep:  259 | Steps:   31 | Reward:     9.33
Total T:    5491 | Ep:  260 | Steps:   18 | Reward:     8.33
Total T:    5505 | Ep:  261 | Steps:   14 | Reward:    -2.37
Total T:    5519 | Ep:  262 | Steps:   14 | Reward:    -2.26
Total T:    5542 | Ep:  263 | Steps:   23 | Reward:     3.88
Total T:    5554 | Ep:  264 | Steps:   12 | Reward:     0.90
Total T:    5564 | Ep:  265 | Steps:   10 | Reward:    -2.54
Total T:    5580 | Ep:  266 | Steps:   16 | Reward:     0.54
Total T:    5595 | Ep:  267 | Steps:   15 | Reward:     1.16
Total T:    5624 | Ep:  268 | Steps:   29 | Reward:    12.37
Total T:    5651 | Ep:  269 | Steps:   27 | Reward:    12.87
Total T:    5668 | Ep:  270 | Steps:   17 | Reward:     6.02
Total T:    5680 | Ep:  271 | Steps:   12 | Reward:    -0.27
Total T:    5702 | Ep:  272 | Steps:   22 | Reward:    -0.85
Total T:    5722 | Ep:  273 | Steps:   20 | Reward:     6.15
Total T:    5736 | Ep:  274 | Steps:   14 | Reward:     3.87
Total T:    5760 | Ep:  275 | Steps:   24 | Reward:     1.97
Total T:    5770 | Ep:  276 | Steps:   10 | Reward:    -1.97
Total T:    5786 | Ep:  277 | Steps:   16 | Reward:    -0.72
Total T:    5801 | Ep:  278 | Steps:   15 | Reward:     1.57
Total T:    5822 | Ep:  279 | Steps:   21 | Reward:     5.02
Total T:    5855 | Ep:  280 | Steps:   33 | Reward:     4.71
Total T:    5890 | Ep:  281 | Steps:   35 | Reward:     8.43
Total T:    5900 | Ep:  282 | Steps:   10 | Reward:     1.56
Total T:    5932 | Ep:  283 | Steps:   32 | Reward:     7.85
Total T:    5946 | Ep:  284 | Steps:   14 | Reward:     1.55
Total T:    5964 | Ep:  285 | Steps:   18 | Reward:    -1.19
Total T:    5983 | Ep:  286 | Steps:   19 | Reward:     0.55
Total T:    6000 | Ep:  287 | Steps:   17 | Reward:     3.75
Total T:    6023 | Ep:  288 | Steps:   23 | Reward:    13.34
Total T:    6046 | Ep:  289 | Steps:   23 | Reward:     5.89
Total T:    6065 | Ep:  290 | Steps:   19 | Reward:     6.90
Total T:    6092 | Ep:  291 | Steps:   27 | Reward:    -2.89
Total T:    6118 | Ep:  292 | Steps:   26 | Reward:     6.44
Total T:    6140 | Ep:  293 | Steps:   22 | Reward:    10.95
Total T:    6154 | Ep:  294 | Steps:   14 | Reward:     3.08
Total T:    6180 | Ep:  295 | Steps:   26 | Reward:    12.17
Total T:    6206 | Ep:  296 | Steps:   26 | Reward:     0.56
Total T:    6223 | Ep:  297 | Steps:   17 | Reward:    -2.60
Total T:    6246 | Ep:  298 | Steps:   23 | Reward:     1.77
Total T:    6268 | Ep:  299 | Steps:   22 | Reward:     5.16
Total T:    6287 | Ep:  300 | Steps:   19 | Reward:     6.37
Total T:    6301 | Ep:  301 | Steps:   14 | Reward:     3.53
Total T:    6321 | Ep:  302 | Steps:   20 | Reward:    -3.99
Total T:    6366 | Ep:  303 | Steps:   45 | Reward:     5.65
Total T:    6405 | Ep:  304 | Steps:   39 | Reward:     5.21
Total T:    6416 | Ep:  305 | Steps:   11 | Reward:    -1.43
Total T:    6432 | Ep:  306 | Steps:   16 | Reward:    -1.77
Total T:    6450 | Ep:  307 | Steps:   18 | Reward:    -7.29
Total T:    6469 | Ep:  308 | Steps:   19 | Reward:     6.96
Total T:    6490 | Ep:  309 | Steps:   21 | Reward:    -5.07
Total T:    6522 | Ep:  310 | Steps:   32 | Reward:    21.11
Total T:    6538 | Ep:  311 | Steps:   16 | Reward:     4.13
Total T:    6555 | Ep:  312 | Steps:   17 | Reward:     3.40
Total T:    6569 | Ep:  313 | Steps:   14 | Reward:     4.62
Total T:    6589 | Ep:  314 | Steps:   20 | Reward:    -2.17
Total T:    6607 | Ep:  315 | Steps:   18 | Reward:     5.47
Total T:    6629 | Ep:  316 | Steps:   22 | Reward:     0.72
Total T:    6653 | Ep:  317 | Steps:   24 | Reward:     8.32
Total T:    6669 | Ep:  318 | Steps:   16 | Reward:     0.89
Total T:    6677 | Ep:  319 | Steps:    8 | Reward:    -2.34
Total T:    6691 | Ep:  320 | Steps:   14 | Reward:    -3.10
Total T:    6702 | Ep:  321 | Steps:   11 | Reward:     0.17
Total T:    6716 | Ep:  322 | Steps:   14 | Reward:    -7.91
Total T:    6749 | Ep:  323 | Steps:   33 | Reward:     8.07
Total T:    6764 | Ep:  324 | Steps:   15 | Reward:     3.91
Total T:    6782 | Ep:  325 | Steps:   18 | Reward:    -0.19
Total T:    6799 | Ep:  326 | Steps:   17 | Reward:     4.87
Total T:    6822 | Ep:  327 | Steps:   23 | Reward:    -0.14
Total T:    6833 | Ep:  328 | Steps:   11 | Reward:     0.17
Total T:    6851 | Ep:  329 | Steps:   18 | Reward:     7.07
Total T:    6867 | Ep:  330 | Steps:   16 | Reward:     4.85
Total T:    6885 | Ep:  331 | Steps:   18 | Reward:     6.44
Total T:    6896 | Ep:  332 | Steps:   11 | Reward:     1.97
