C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
--------------------------------------------------
Env:        Walker2d-v4
  ob_dim    = 17
  ac_dim    = 6
  max_action= 1.0
Logdir:     C:\Users\mohamedosama\Downloads\CS515-Deep-RL\TD3_algorithm\runs\td3_sweep_walker2d-v4_seed3_Walker2d-v4_11-05-2026_14-06-42
Rendering:  off
--------------------------------------------------
C:\Users\mohamedosama\AppData\Local\anaconda3\envs\deep_rl\lib\site-packages\gymnasium\core.py:311: UserWarning: [33mWARN: env.seed to get variables from other wrappers is deprecated and will be removed in v1.0, to get this variable you can do `env.unwrapped.seed` for environment variables or `env.get_wrapper_attr('seed')` that will search the reminding wrappers.[0m
  logger.warn(
---------------------------------------
Evaluation over 10 episodes: -4.165
---------------------------------------
Total T:    4474 | Ep:  210 | Steps:   22 | Reward:     6.92
Total T:    4488 | Ep:  211 | Steps:   14 | Reward:     4.14
Total T:    4499 | Ep:  212 | Steps:   11 | Reward:     2.16
Total T:    4531 | Ep:  213 | Steps:   32 | Reward:    13.92
Total T:    4541 | Ep:  214 | Steps:   10 | Reward:    -1.99
Total T:    4557 | Ep:  215 | Steps:   16 | Reward:    -1.41
Total T:    4572 | Ep:  216 | Steps:   15 | Reward:     2.74
Total T:    4592 | Ep:  217 | Steps:   20 | Reward:    -0.72
Total T:    4602 | Ep:  218 | Steps:   10 | Reward:    -4.49
Total T:    4617 | Ep:  219 | Steps:   15 | Reward:     0.41
Total T:    4633 | Ep:  220 | Steps:   16 | Reward:    -1.45
Total T:    4648 | Ep:  221 | Steps:   15 | Reward:    -3.63
Total T:    4688 | Ep:  222 | Steps:   40 | Reward:     4.13
Total T:    4706 | Ep:  223 | Steps:   18 | Reward:     5.02
Total T:    4722 | Ep:  224 | Steps:   16 | Reward:    -0.93
Total T:    4731 | Ep:  225 | Steps:    9 | Reward:    -2.16
Total T:    4761 | Ep:  226 | Steps:   30 | Reward:     8.32
Total T:    4776 | Ep:  227 | Steps:   15 | Reward:     2.02
Total T:    4812 | Ep:  228 | Steps:   36 | Reward:     2.23
Total T:    4824 | Ep:  229 | Steps:   12 | Reward:    -0.92
Total T:    4847 | Ep:  230 | Steps:   23 | Reward:    -0.09
Total T:    4862 | Ep:  231 | Steps:   15 | Reward:     4.18
Total T:    4877 | Ep:  232 | Steps:   15 | Reward:    -2.86
Total T:    4892 | Ep:  233 | Steps:   15 | Reward:     4.33
Total T:    4901 | Ep:  234 | Steps:    9 | Reward:    -3.07
Total T:    4914 | Ep:  235 | Steps:   13 | Reward:    -7.36
Total T:    4936 | Ep:  236 | Steps:   22 | Reward:    -0.41
Total T:    4953 | Ep:  237 | Steps:   17 | Reward:     1.57
Total T:    4965 | Ep:  238 | Steps:   12 | Reward:    -6.32
Total T:    5004 | Ep:  239 | Steps:   39 | Reward:    15.82
Total T:    5028 | Ep:  240 | Steps:   24 | Reward:    -0.83
Total T:    5041 | Ep:  241 | Steps:   13 | Reward:    -0.39
Total T:    5061 | Ep:  242 | Steps:   20 | Reward:    -0.62
Total T:    5111 | Ep:  243 | Steps:   50 | Reward:    24.33
Total T:    5123 | Ep:  244 | Steps:   12 | Reward:     1.85
Total T:    5138 | Ep:  245 | Steps:   15 | Reward:     3.79
Total T:    5153 | Ep:  246 | Steps:   15 | Reward:    -0.71
Total T:    5177 | Ep:  247 | Steps:   24 | Reward:     8.04
Total T:    5195 | Ep:  248 | Steps:   18 | Reward:    -0.77
Total T:    5211 | Ep:  249 | Steps:   16 | Reward:    -5.27
Total T:    5242 | Ep:  250 | Steps:   31 | Reward:     5.01
Total T:    5255 | Ep:  251 | Steps:   13 | Reward:     2.75
Total T:    5278 | Ep:  252 | Steps:   23 | Reward:     3.58
Total T:    5310 | Ep:  253 | Steps:   32 | Reward:     7.93
Total T:    5342 | Ep:  254 | Steps:   32 | Reward:     0.22
Total T:    5354 | Ep:  255 | Steps:   12 | Reward:     0.65
Total T:    5366 | Ep:  256 | Steps:   12 | Reward:    -0.27
Total T:    5391 | Ep:  257 | Steps:   25 | Reward:     8.87
Total T:    5411 | Ep:  258 | Steps:   20 | Reward:     4.25
Total T:    5455 | Ep:  259 | Steps:   44 | Reward:    15.36
Total T:    5464 | Ep:  260 | Steps:    9 | Reward:    -1.18
Total T:    5490 | Ep:  261 | Steps:   26 | Reward:     9.42
Total T:    5513 | Ep:  262 | Steps:   23 | Reward:     1.35
Total T:    5532 | Ep:  263 | Steps:   19 | Reward:     5.86
Total T:    5568 | Ep:  264 | Steps:   36 | Reward:     7.91
Total T:    5578 | Ep:  265 | Steps:   10 | Reward:     0.48
Total T:    5598 | Ep:  266 | Steps:   20 | Reward:     3.01
Total T:    5619 | Ep:  267 | Steps:   21 | Reward:    11.39
Total T:    5651 | Ep:  268 | Steps:   32 | Reward:     5.67
Total T:    5668 | Ep:  269 | Steps:   17 | Reward:     1.40
Total T:    5683 | Ep:  270 | Steps:   15 | Reward:     2.91
Total T:    5709 | Ep:  271 | Steps:   26 | Reward:     3.07
Total T:    5725 | Ep:  272 | Steps:   16 | Reward:     1.48
Total T:    5747 | Ep:  273 | Steps:   22 | Reward:    -2.44
Total T:    5772 | Ep:  274 | Steps:   25 | Reward:     8.96
Total T:    5786 | Ep:  275 | Steps:   14 | Reward:     0.05
Total T:    5800 | Ep:  276 | Steps:   14 | Reward:     1.40
Total T:    5828 | Ep:  277 | Steps:   28 | Reward:     6.18
Total T:    5848 | Ep:  278 | Steps:   20 | Reward:     6.63
Total T:    5866 | Ep:  279 | Steps:   18 | Reward:     1.24
Total T:    5881 | Ep:  280 | Steps:   15 | Reward:     0.52
Total T:    5903 | Ep:  281 | Steps:   22 | Reward:     7.02
Total T:    5916 | Ep:  282 | Steps:   13 | Reward:    -0.62
Total T:    5930 | Ep:  283 | Steps:   14 | Reward:     1.99
Total T:    5939 | Ep:  284 | Steps:    9 | Reward:    -3.73
Total T:    5960 | Ep:  285 | Steps:   21 | Reward:     4.73
Total T:    5977 | Ep:  286 | Steps:   17 | Reward:    -1.36
Total T:    5991 | Ep:  287 | Steps:   14 | Reward:     2.12
Total T:    6001 | Ep:  288 | Steps:   10 | Reward:    -0.15
Total T:    6021 | Ep:  289 | Steps:   20 | Reward:     7.74
Total T:    6036 | Ep:  290 | Steps:   15 | Reward:     1.86
Total T:    6054 | Ep:  291 | Steps:   18 | Reward:     0.63
Total T:    6066 | Ep:  292 | Steps:   12 | Reward:    -1.30
Total T:    6098 | Ep:  293 | Steps:   32 | Reward:     8.18
Total T:    6108 | Ep:  294 | Steps:   10 | Reward:    -3.65
Total T:    6131 | Ep:  295 | Steps:   23 | Reward:    -1.72
Total T:    6158 | Ep:  296 | Steps:   27 | Reward:    10.07
Total T:    6182 | Ep:  297 | Steps:   24 | Reward:    -4.18
Total T:    6195 | Ep:  298 | Steps:   13 | Reward:     3.59
Total T:    6214 | Ep:  299 | Steps:   19 | Reward:     3.45
Total T:    6241 | Ep:  300 | Steps:   27 | Reward:   -10.59
Total T:    6261 | Ep:  301 | Steps:   20 | Reward:    -3.17
Total T:    6278 | Ep:  302 | Steps:   17 | Reward:    -4.15
Total T:    6305 | Ep:  303 | Steps:   27 | Reward:     4.15
Total T:    6331 | Ep:  304 | Steps:   26 | Reward:    -0.76
Total T:    6358 | Ep:  305 | Steps:   27 | Reward:     8.81
Total T:    6379 | Ep:  306 | Steps:   21 | Reward:    -4.09
Total T:    6408 | Ep:  307 | Steps:   29 | Reward:    10.85
Total T:    6427 | Ep:  308 | Steps:   19 | Reward:     2.17
Total T:    6452 | Ep:  309 | Steps:   25 | Reward:     9.83
Total T:    6486 | Ep:  310 | Steps:   34 | Reward:     8.70
Total T:    6496 | Ep:  311 | Steps:   10 | Reward:    -2.03
Total T:    6521 | Ep:  312 | Steps:   25 | Reward:     8.88
Total T:    6552 | Ep:  313 | Steps:   31 | Reward:    15.61
Total T:    6573 | Ep:  314 | Steps:   21 | Reward:     8.04
Total T:    6613 | Ep:  315 | Steps:   40 | Reward:    -5.12
Total T:    6631 | Ep:  316 | Steps:   18 | Reward:     1.22
Total T:    6670 | Ep:  317 | Steps:   39 | Reward:     8.48
Total T:    6697 | Ep:  318 | Steps:   27 | Reward:     8.58
Total T:    6720 | Ep:  319 | Steps:   23 | Reward:     6.34
Total T:    6733 | Ep:  320 | Steps:   13 | Reward:    -2.78
Total T:    6773 | Ep:  321 | Steps:   40 | Reward:     9.43
Total T:    6806 | Ep:  322 | Steps:   33 | Reward:    11.74
Total T:    6837 | Ep:  323 | Steps:   31 | Reward:     3.44
Total T:    6853 | Ep:  324 | Steps:   16 | Reward:    -4.53
Total T:    6867 | Ep:  325 | Steps:   14 | Reward:     0.22
Total T:    6896 | Ep:  326 | Steps:   29 | Reward:    10.78
Total T:    6918 | Ep:  327 | Steps:   22 | Reward:    -8.66
Total T:    6950 | Ep:  328 | Steps:   32 | Reward:    15.12
Total T:    6966 | Ep:  329 | Steps:   16 | Reward:     1.68
Total T:    6974 | Ep:  330 | Steps:    8 | Reward:    -1.58
Total T:    6993 | Ep:  331 | Steps:   19 | Reward:    -1.72
Total T:    7020 | Ep:  332 | Steps:   27 | Reward:    -2.75
